deaths,cases,Country,Date
1499,2471,Guinea,06/01/15
,3118,Liberia,06/01/15
1,4,United States of America,07/01/15
,3118,Liberia,07/01/15
0,1,United Kingdom,07/01/15
,7,Mali,07/01/15
0,1,Spain,07/01/15
0,1,Senegal,07/01/15
1499,2471,Guinea,07/01/15
2577,7602,Sierra Leone,07/01/15
7,19,Nigeria,07/01/15
,7,Mali,08/01/15
,1,United Kingdom,08/01/15
1504,2477,Guinea,08/01/15
,3118,Liberia,08/01/15
2611,7759,Sierra Leone,08/01/15
1515,2493,Guinea,09/01/15
,1,United Kingdom,09/01/15
,7,Mali,09/01/15
2611,7759,Sierra Leone,09/01/15
,3123,Liberia,09/01/15
,7,Mali,12/01/15
1523,2508,Guinea,12/01/15
2683,7766,Sierra Leone,12/01/15
,3123,Liberia,12/01/15
,1,United Kingdom,12/01/15
,7,Mali,13/01/15
2683,7766,Sierra Leone,13/01/15
,1,United Kingdom,13/01/15
,3123,Liberia,13/01/15
1523,2508,Guinea,13/01/15
1,4,United States of America,14/01/15
2696,7786,Sierra Leone,14/01/15
,3127,Liberia,14/01/15
7,19,Nigeria,14/01/15
,1,United Kingdom,14/01/15
1530,2514,Guinea,14/01/15
0,1,Senegal,14/01/15
,7,Mali,14/01/15
0,1,Spain,14/01/15
0,1,Spain,15/01/15
1537,2522,Guinea,15/01/15
,7,Mali,15/01/15
2701,7802,Sierra Leone,15/01/15
7,19,Nigeria,15/01/15
,1,United Kingdom,15/01/15
0,1,Senegal,15/01/15
,3127,Liberia,15/01/15
1,4,United States of America,15/01/15
0,1,Senegal,16/01/15
1541,2525,Guinea,16/01/15
1,4,United States of America,16/01/15
7,19,Nigeria,16/01/15
,7,Mali,16/01/15
,1,United Kingdom,16/01/15
0,1,Spain,16/01/15
2717,7825,Sierra Leone,16/01/15
,3127,Liberia,16/01/15
2766,7883,Sierra Leone,19/01/15
0,1,Senegal,19/01/15
,7,Mali,19/01/15
,1,United Kingdom,19/01/15
1,4,United States of America,19/01/15
7,19,Nigeria,19/01/15
1556,2539,Guinea,19/01/15
,3131,Liberia,19/01/15
0,1,Spain,19/01/15
,3135,Liberia,20/01/15
1,4,United States of America,20/01/15
0,1,Spain,20/01/15
2779,7903,Sierra Leone,20/01/15
,7,Mali,20/01/15
7,19,Nigeria,20/01/15
1557,2539,Guinea,20/01/15
0,1,Senegal,20/01/15
,1,United Kingdom,20/01/15
1557,2539,Guinea,21/01/15
7,19,Nigeria,21/01/15
,7,Mali,21/01/15
1,4,United States of America,21/01/15
,1,United Kingdom,21/01/15
0,1,Senegal,21/01/15
,3135,Liberia,21/01/15
0,1,Spain,21/01/15
2779,7903,Sierra Leone,21/01/15
,3136,Liberia,22/01/15
0,1,Spain,22/01/15
7,19,Nigeria,22/01/15
1,4,United States of America,22/01/15
2787,7909,Sierra Leone,22/01/15
,1,United Kingdom,22/01/15
,7,Mali,22/01/15
0,1,Senegal,22/01/15
1560,2542,Guinea,22/01/15
,3136,Liberia,23/01/15
0,1,Spain,23/01/15
0,1,Senegal,23/01/15
1561,2545,Guinea,23/01/15
2793,7921,Sierra Leone,23/01/15
,7,Mali,23/01/15
1,4,United States of America,23/01/15
7,19,Nigeria,23/01/15
,1,United Kingdom,23/01/15
0,1,Senegal,26/01/15
1574,2559,Guinea,26/01/15
